date,air_temp_CZ,air_temp_DE,air_temp_HU,air_temp_RO,air_temp_SK,precipitation_CZ,precipitation_DE,precipitation_HU,precipitation_RO,precipitation_SK,electricity_daily_average_CZ,irradiance_CZ,irradiance_DE,irradiance_HU,irradiance_RO,irradiance_SK,electricity_demand_CZ,electricity_demand_DE,electricity_demand_HU,electricity_demand_RO,electricity_demand_SK,wind_speed_CZ,wind_speed_DE,wind_speed_HU,wind_speed_RO,wind_speed_SK,hydro_energy_DE,hydro_energy_FR,hydro_energy_RO,hydro_energy_SK,time_series
2020-07-04,18.63,16.93,22.45,21.31,17.45,0.0148994605834814,0.00509052070472425,0.00941135384788045,0.00439291558042512,0.0111999623106581,473.71,153.877852914548,191.057261959781,232.897130765378,219.933296218005,145.224378512983,-2779873.8,-953042.1,98724.1,71532.1,-26346.4,2.97219065401221,3.79162462395036,4.2179065814704,3.0911775637219,2.53755748805659,3272.4,41790.06,24443.91,1023.86,1
2020-07-05,15.16,16.42,18.82,22.04,15.53,0.0105328550164937,0.00130659484745952,0.00438028440461108,0.00220421779765949,0.0186513816694635,256.99,203.031147500824,259.239257507317,165.73962643327,260.358773485863,119.39255684267,-2793305.6,-1084726.6,90955.8,60353.6,-29514.7,8.14970243188668,4.78905531866903,8.56585034231081,7.04219659422375,5.96945569288362,3271.32,41044.4,24038.29,1035.61,1
2020-07-06,16.82,17.14,19.73,18.83,16.90,0.000802916325948896,0.00357033922461278,3.85868870989464e-05,0.00107258735624562,5.10446116572483e-05,721.84,255.677315836654,205.096991201452,293.95723980766,264.805508330785,265.919355552784,-2791559.7,-735621.5,104941.8,76243.2,-22190,3.12212310481586,3.83879125382947,3.33386039036098,5.83744160104608,3.11774787867048,3260.37,40989.48,24048.61,1033.65,1
2020-07-07,16.89,16.66,20.70,19.83,17.47,0.00432137612961833,0.00351602042894851,0.000855467291137322,0.000507421726122763,0.00527473194072973,887.07,194.973566198392,180.011854125477,258.437228052173,289.182083368402,223.575613317253,-2760709.3,-692947.4,108820.7,81057.7,-19875.8,5.08524027905805,5.8344689311217,3.56065706250031,2.80483596777129,3.36230591696851,3231.15,40989.15,23576.97,1031.67,1
2020-07-08,17.79,17.81,20.89,19.62,17.53,0.00108094838143132,0.000595760142063662,9.21974900182177e-05,0.00133065914871315,0.000993251323728593,1152.68,191.294521764887,165.827176145615,275.077359055289,254.654785464187,246.097518063381,-2757819.4,-681610.9,109336.5,81546.7,-19755.8,4.85533744908135,5.19287632887995,4.42498435143965,4.27687541163182,3.7900831063258,3252.47,38663.6,23514.14,1030.04,1
2020-07-09,19.72,17.48,23.09,20.25,19.79,0.0028945469035614,0.00531033162918316,0.000636788154519727,0.000215522236456252,0.00481369561642701,1146.63,181.074854955603,144.266433452307,227.322260930288,271.740815497351,221.144165627076,-2757981.8,-680141.9,112102.1,82344.3,-19350.5,4.65233612164908,6.56810291933623,2.66508782827535,3.16300186239554,2.72243905089967,3233.59,38468.63,23705.18,1030.34,1
2020-07-10,18.63,16.72,24.56,22.40,20.91,0.00649601893636731,0.00638461100660627,0.0087472933540602,0.00100193799167773,0.00689559302703303,1028.54,106.378552803813,114.77143113929,263.527993408145,273.064188191217,213.836147220335,-2760660.4,-713411.6,111893.3,83864.4,-20098.6,7.03991849364613,6.89827602222736,3.89863325759132,2.78982010274118,5.17931412493219,3255.45,38587.91,23956.32,1025.7,1
2020-07-11,20.10,17.86,24.23,23.24,21.21,0.00890038687430173,0.0041984487847939,0.00400455546842001,0.00223607548858115,0.00148414619076652,788.36,184.209585596327,145.803325581763,244.205554094741,236.923045598529,223.865111898114,-2782720.2,-939577.7,101564.6,74170,-25466.3,6.00226778239102,6.80598393113189,3.87479219329221,3.10110781174156,3.98971101679541,3286.04,38270.89,24132.03,1026.74,1
2020-07-12,18.71,17.00,27.30,25.36,23.62,0.0111747564901312,0.00199849173408513,2.68956146316798e-05,0.000141780831192368,0.000442712831098763,671.39,136.937167995346,220.191902442694,293.020556725321,295.96129535087,258.761701874628,-2786872.5,-1078738.8,100181.9,65503,-24361.2,3.38286032740507,5.11726357724386,4.88032559249557,3.18070316668315,3.43375384828643,3288.66,38523.73,25290.83,1027.07,1
2020-07-13,18.84,19.23,27.29,25.89,24.01,0.00579838177733405,0.00100866719900726,0.00102863092008877,0.000116489157338831,0.00508980404720645,961.36,152.402477196875,247.95972720632,275.472134547061,288.579531449397,275.979808066585,-2760933.6,-738879.3,115084.7,86645,-13479.4,2.37269999777511,2.47384839903632,4.36708891653023,4.17015701525164,4.41329589213966,3215.88,38360.6,25374.25,1021.55,1
