date,air_temp_CZ,air_temp_DE,air_temp_HU,air_temp_RO,air_temp_SK,precipitation_CZ,precipitation_DE,precipitation_HU,precipitation_RO,precipitation_SK,electricity_daily_average_CZ,irradiance_CZ,irradiance_DE,irradiance_HU,irradiance_RO,irradiance_SK,electricity_demand_CZ,electricity_demand_DE,electricity_demand_HU,electricity_demand_RO,electricity_demand_SK
29/03/2024,-0.11,1.95,3.39,0.46,0.23,0.00213714537429529,0.00192832524607258,0.000836153982579548,0.00238096004451377,0.00186695279642777,949.14,146.498444697467,115.066334983411,163.276201206286,158.336249859742,151.909780159161,-2695626.4,-526192,158763.2,99909.5,-27640.3
30/03/2024,2.73,5.64,5.69,0.92,1.68,0.00289347919787803,0.0019157627388813,0.000652805577719102,0.00218027715141458,0.00293715026901005,1289.39,107.460956931307,111.574327416354,169.018686734867,176.629629887675,141.875033852972,-2713679,-562455,145378.9,90289,-27488.8
31/03/2024,7.74,9.21,10.43,5.60,6.28,6.70982492343298e-05,0.00264701028674728,0.00069437920383951,0.000299189030656977,0.000493090529089545,1045.10,175.920142162859,131.090188224691,175.769633558357,182.859449121717,179.002412806871,-2732075.1,-774682.3,126196,69622.2,-36173.1
01/04/2024,9.01,6.74,13.06,8.50,9.51,0.000468846151754027,0.00267398378231993,0.000703876619527936,0.000223139432177651,0.000993286692159162,813.86,176.047701211593,150.174338555786,204.262723942616,211.575730091849,163.228063915678,-2730686.1,-718692.4,119326.5,71883.8,-34471.9
02/04/2024,6.13,5.63,11.75,9.22,11.01,0.0086822070640295,0.00381755990079849,0.00387660192521274,0.00279989491811632,0.000817998011802568,849.31,93.4599976955997,156.964798985323,145.222200835271,183.368576924436,203.859757507619,-2699358.9,-375085.8,134240,92122.7,-21535.6
03/04/2024,3.18,6.25,10.76,9.23,7.56,0.006297660295993,0.00236927910249574,0.000796880324296458,0.00104009224075746,0.00203475248587767,2135.60,120.697835934188,178.189319019196,206.562853534946,159.189370323624,172.702926951636,-2694749.6,-336713.7,135236.6,93329.2,-19304.9
04/04/2024,6.32,7.09,10.68,8.63,7.93,0.000230226289925237,0.000720412346368069,0.00294372790114772,0.00583355371656637,0.0017409254015372,1660.47,210.026410634114,183.771803958538,151.648722283257,147.093299940867,175.286365627346,-2699231.8,-349691.5,133949,94354,-19491.7
05/04/2024,5.58,6.85,11.00,8.12,8.34,0.000634026233820701,0.00171188106101765,0.00215363346554808,0.00641013982577987,0.00188105456039205,1330.40,179.743701599885,144.365428708367,163.304912966572,90.0756921781793,174.999041711301,-2699303.9,-371096,131674.9,95844.7,-19379.2
06/04/2024,3.78,5.74,7.82,7.33,4.40,0.00178303020256455,0.00497406223030635,0.000767296839450128,0.00466420094391729,0.000992150652224037,957.92,151.819940493535,126.894277904541,189.460517182887,100.613993702899,162.066331847793,-2723178.9,-584047.1,124314,86200.7,-24954.9
07/04/2024,4.38,5.79,7.00,4.90,3.72,0.00443074067154201,0.00666081178053449,0.000718949498128823,0.0011488911278559,0.00146057511155967,525.62,170.204504003281,140.590670800988,205.098603214871,186.754022364411,197.356479019157,-2730082.8,-697635.6,119697.3,70296.1,-28285.2
08/04/2024,5.07,3.99,7.81,6.56,5.15,0.00341928370837195,0.00501170875437435,0.0130365907002645,0.0052851446611652,0.0109855688976327,1866.79,134.525695924347,129.009462992696,118.753229990629,210.726239578705,116.200276773897,-2702858.6,-326517.7,134495.4,89227.5,-19672.9
