date,electricity_demand_CZ,electricity_demand_DE,electricity_demand_FR,electricity_demand_HU,electricity_demand_PL,electricity_demand_RO,electricity_demand_SK,irradiance_CZ,irradiance_DE,irradiance_FR,irradiance_HU,irradiance_PL,irradiance_RO,irradiance_SK,air_temp_CZ,air_temp_DE,air_temp_FR,air_temp_HU,air_temp_PL,air_temp_RO,air_temp_SK,price_mwh_eur_DAM
2023-07-07,141409,1443229.3,1179655,112050.1,404463.3,139079,72684.7,280.5748467229167,322.7311488795834,311.06300448962503,247.95692747833334,267.9332266070833,221.51616296250003,259.34567091375,293.14954125,293.49336,295.9057616666667,295.030695,292.28045125,294.08874291666666,292.3785541666667,102.35
2023-07-08,134058.4,1233262,1051451.8,101855.8,366181.2,126855.3,66961.7,323.00253986158333,308.0985252797083,289.24122687587504,322.5822034666667,284.9069417466667,204.77254473500003,323.71278018916666,294.95672291666665,296.2511775,297.2840820833333,295.53099791666665,293.74739666666665,292.6231825,293.31421458333335,82.41
2023-07-09,131993,1124325.7,982073.4,98646.1,328871.2,116132.4,65160.2,299.75046548252084,287.84756624662504,260.49260204908336,303.4537944941667,310.95973294416666,286.5011522845834,292.92515061583333,297.00582833333334,297.70383666666663,296.4851345833333,297.29113208333337,294.2099670833333,294.02238208333335,295.07659541666663,89.33
2023-07-10,159135.8,1458482.8,1177299.1,115258.2,394667.7,137150.4,73774.9,245.47166299456669,247.08546029932086,302.7431879467917,288.04191190025,267.8355865116667,277.1769119708334,287.3726200875,295.7662891666667,295.33984333333336,296.47705833333333,298.6809695833333,294.1193870833333,295.26033416666667,295.34457625,117.44
2023-07-11,160547.7,1501449.6,1212385.7,119233.1,408031.7,141058.5,75064.6,293.5507630470625,293.6716552794667,279.36414511208335,303.537136775,249.47709753333336,247.7654032416667,295.93415938125,296.36808291666665,297.00075291666667,296.81230208333335,299.11272833333334,293.5058129166667,295.18392958333334,295.0713220833333,112.36
2023-07-12,161894.3,1500130.2,1198008.7,119726.2,412730.6,143142.7,75536.3,215.34383104115213,243.60298954985,227.47839997380834,263.6523342422917,224.94859276666668,284.19665024041666,232.66795320208337,296.12079291666663,294.269815,293.5697745833333,298.89871750000003,294.48403625,296.10760625,295.06860958333334,125.62
2023-07-13,159680.9,1480942.7,1168131.3,117226.2,409887.5,146739.8,75200.1,209.6660471337782,229.63942171241044,256.9101132217917,208.67146861900002,190.44391922916668,279.2322443075,144.25424775083334,293.66999375,291.618125,292.38197125,296.48199875,292.76774458333335,298.2995995833333,292.87226875,108.91
2023-07-14,154714.3,1446152.1,1022199.3,114929.1,405617.7,142286.4,73800.8,258.9286317134167,255.27816182392624,308.48320645683333,291.0958059954167,258.7318064566667,257.994673135,259.66688612458336,293.66343666666666,293.0130208333333,295.04613,296.62296625,292.55598625,295.91197708333334,293.6461595833333,96.48
2023-07-15,135509.1,1250123.2,1003123.5,107239.8,373745.7,132187.5,68058.4,317.235857971625,259.4601697301346,204.0113329341667,299.596315736,292.28802439875,279.8205898441667,280.0417540879167,298.272565,297.0121516666667,294.1114533333333,298.70348083333334,296.75709708333335,296.43836625,296.0484108333333,32.88
2023-07-16,131633.8,1109577,944848.9,104254.2,340495,122783.1,67133.6,238.59543836195834,245.89077529583335,253.85885719477503,287.95622114595835,252.34236958833336,293.3133764166667,281.58442549125,296.72528041666664,293.5947479166667,292.64470208333336,300.65522125,297.84737416666667,298.13000458333335,298.26420041666665,24.98
2023-07-17,156858.7,1432869,1145416.8,118276.2,399893.6,144786,74235.8,220.4209207054167,234.52939008333337,287.6671860272917,277.1299775682917,231.35413056125003,275.39297653625005,246.4188154266667,295.1474925,292.47167375,293.46130791666667,300.5277275,295.3611866666667,299.15260958333334,296.3325291666667,103.33
2023-07-18,158905.9,1458437.4,1192327.2,120082.9,405876.3,147333.5,75227.1,297.97888415933335,257.3398278083334,293.00824409237504,279.0042926295209,258.31969377133333,273.20504903041666,304.46089374345837,294.24608416666666,292.0586983333333,295.6488533333333,299.3854925,292.25991916666663,298.3004716666667,295.1608204166667,107.89
2023-07-19,159196.4,1465237.9,1184804.4,118816.9,406861.7,146879.5,75287.3,275.14967974103337,231.59982095833334,285.1124088776396,273.3745941777084,230.17166494345835,254.78172788583336,261.1057157508333,294.5074408333333,292.26407958333334,294.33335041666663,298.31368583333335,292.1723304166667,297.4143070833333,295.0370266666667,103.64
2023-07-20,157085.9,1451417.2,1172915.3,117110.3,401948.4,144905.9,74172.6,241.58489936243754,228.46063178333335,280.35160382468086,274.49462869148755,217.93470829125002,237.49451847291667,248.99491012029168,291.60995375,290.54175291666667,293.3420916666667,297.20174791666665,289.85478416666666,295.8174304166667,293.15104,97.49
2023-07-21,153033.6,1411763.2,1147349.6,113545.1,400738.2,144181,73502.3,206.07850146859417,205.99830820000003,242.0490890708221,197.43030278241,227.71475022741666,267.0978399170834,157.67928027091668,290.88652333333334,289.30898833333333,292.25124625,295.07154833333334,290.75448458333335,296.14560458333335,291.17400291666667,105.75
2023-07-22,128594.5,1203234.8,994823.1,102428.1,359079.6,132464.4,65900.3,233.94185829166668,207.73874422791667,266.7760607664417,255.74859024166668,233.83830799712504,265.7669489556667,257.9633448110667,290.90595583333334,290.07875874999996,292.40517166666666,295.13734833333336,290.59112375,296.09066791666663,292.50203791666667,73.14
2023-07-23,127102.9,1095747.1,945776,96790.7,326673,118375.8,64289.5,258.31128962500003,156.5079458291667,216.7478981742532,280.26717124583337,195.6104956644792,230.807889115,258.1348546604375,294.7436016666667,292.28449416666666,294.0930579166667,296.26898625,292.82103208333336,294.31969208333334,293.96365541666665,27.89
2023-07-24,152766.3,1417011.9,1124316.3,113609.8,396116.9,140588.6,71878.7,216.9484939166667,167.03991775416668,202.90597692738336,287.8426830416667,216.96639647395418,277.43083716475,260.09147290192374,295.18831,292.1263804166667,292.89169208333334,299.43890541666667,295.41956875,296.2097879166667,296.45378999999997,95.11
2023-07-25,153839.2,1427116.1,1127488.6,113482,403705.7,146562.1,72545.8,150.08282883333337,167.12235750000002,210.68583519216313,176.173883975,212.21951435259587,265.70191421612503,125.31699393333336,290.7762970833333,288.46552791666664,290.0778695833333,296.2404270833334,292.70697958333335,298.04833833333333,292.37752333333333,104.42
2023-07-26,151721.8,1416490,1125579.2,109094.8,400209.6,143953.7,71504,186.1141029416667,226.9013339875,220.8841871639123,159.31195082083335,149.85330204187667,207.466926275625,111.93641856666669,287.08263916666664,287.26292166666667,290.55590166666667,291.88325875,288.74795666666665,295.76471291666667,287.9422754166667,98.22
2023-07-27,150554.9,1431572.4,1134057,106874.1,396848.4,138674.9,69708.8,189.55317577083335,94.55462168291668,205.71308450000004,249.06182350000003,229.0298803241667,198.34437127850003,240.2610867291667,288.6981925,288.35014,292.86040333333335,291.59750875000003,289.32968999999997,289.95357083333334,288.89685000000003,95.34
2023-07-28,148959.3,1418476.9,1121955,108236.6,401531.6,137950,70087.7,162.0525893916667,148.4930161291667,179.98661530833337,265.5087480291667,120.26236892750002,288.3402137697292,142.98463987083335,292.0289133333333,291.79695791666666,293.7600054166667,294.96470708333334,290.2669445833333,291.76989208333333,290.9559795833333,95.64
2023-07-29,128271.9,1210266.7,993162.5,99900.1,361505.9,129196.8,64522.8,190.2249066916667,172.8154721791667,200.71931385000002,264.0337534833333,219.30536398875003,262.47719798352915,210.3419786916667,292.6351416666667,292.12577749999997,293.5943545833333,296.94976541666665,292.7823458333333,294.76844208333335,292.924825,77.58
2023-07-30,124287.3,1072248.2,908100,92148.6,324917.8,118860.1,62472.4,184.75570636250004,196.82404611666666,226.7900560416667,138.0868010541667,210.85158427233338,244.46262411249168,146.6798716791667,291.0401254166667,290.78985708333335,292.12045374999997,294.33933583333334,292.75905458333335,295.57970416666666,291.7174875,36.36
2023-07-31,145712.8,1379089.7,1041314.1,104206.8,382061.7,134976.7,67432.2,181.16271579166667,126.32088693266668,231.30850026666667,270.39869325833337,186.61179879895835,164.58765069135004,229.83895864583337,291.0219829166667,290.2378816666667,292.5205020833333,294.77177916666665,291.8096208333333,292.98122875,292.0421875,73.31
